,tweet
208,"@realDonaldTrump Believe the good doctor is respected by media. u failed 2 speak 2 him 4 months let alone rely on his professionalism. u have contributed nothing regarding the virus. Tweeted exaggerated deaths &amp; vaccinations administered, remember 'fake Covid'? u tweeted that. uR insane!!"
209,@ThomasEBrown3 @realDonaldTrump @politicususa What a ridiculous article.  Never once saw an article about Obama Biden being short like 90 million vaccinations for swine flu.   Fake news.  Or shall we say inept reporting?  Morons.
210,"Qui es-tu⁉️ Quel éveillé es-tu ⁉️
@silvano_trotta #COVID19 #vaccinations #JeMeFaisVacciner  #coronavirus #COVID19france @MinSoliSante https://t.co/0bvu2QEUF0"
211,@realDonaldTrump @CDCgov Any fake narrative to prove to yourself you didn't suck as a leader.  What happened to the 20 million vaccinations in 2020?  Same as the failed supply chain for promised ventilators and N95 masks early in the year.
212,@realDonaldTrump You first call it fake then you’re boasting about the fact that the vaccines are being delivered. WTF are you delivering vaccinations for something that isn’t “ REAL “
213,"@alexfitzgerald7 If the ones who got vaccinated stopped wearing their mask it would probably cause a shit show. Ppl would fake paper work saying “look I got my vaccination”, &amp;there’s 2 vaccinations, a lot of people haven’t got their 2nd step yet. And who says it even works, it’s not 100% remember"
214,@realDonaldTrump @CDCgov WHY ARE YOU ENCOURAGING MILLIONS OF PEOPLE WHO TRUST YOU AND VOTED FOR YOU TO TAKE POISON 'VACCINATIONS' THAT EVEN PELOSI AND BIDEN FAKE OUT TAKE IT???? YOU KNOW EXACTLY WHAT GATES IS DOING AND ARE BEING SILENT!  I WANT AN ANSWER!
215,@Inspired_dads They seriously looked like fake vaccinations.
216,"@ClubCorruption @City_Press Japan and others"", and ""due to complications"" just doesn't tell the story. This is how ""fake news"" is created... next someone will be tweeting ""countries are canceling vaccinations because they're not safe"", or some other such nonsense!"
217,@najamsethi Fake news alert. PTI govt has already said that by March we will start vaccinations in Pakistan.
218,"@WeillClaude @DianeDelahaye13 @nos3tares @clairemmathieu @axelkahn @dseux En effet, le tir méritait d'être corrigé. Cependant avec un million de doses et deux vaccinations par personne, on ne peut vacciner que 500 000 personnes. Le reste c'est sentiments contre faits et fake news à gogo. La gauche et le droite c'était avant, aujourd'hui il faut vendre."
219,Watching all of these slow motion videos of vaccinations proving that they’re fake and I’m so glad Facebook people exist to protect us all I feel so blessed 🙏🏼
220,"@clairlemon Its a fake vaccine for a common flu. They want to mandate forced vaccinations going forward. They arent going to risk using a dangerous untested vaccine.

The PCR tests are also fake."
221,"@MLTspecialties Yes but @Shoq is in the US and the issue there is that people have been making fake mask exemption cards, and now it’s cards saying they have vaccinations. 
And they don’t have any type of national or state ID to use. We can use prov or federal health cards at least"
222,"More fake vaccinations

https://t.co/nQLbzCW7nx"
223,@caoutchouk @crunsel2 @vincentglad Faux. C'est une fake news de #Veran. En BE les vaccinations viennent de commencer dans les maisons de retraite (700 injections à la date du 31 - oui c'est peu également)
224,"The ""mixing and matching"" is not what they recommended, I hate the corrupt bunch of clowns running this country as much as the next person, but please do not spread fake news at such a crucial stage of the pandemic with vaccinations taking place just to get a dig on the Tories https://t.co/XPhoUqGPZN"
225,"Imagine thinking 

about not thinking about vaccinations

fake pandemics

stupid fucking masks

social satanic 6 foot bullshit

I am not going to try to survive 2021

I want to live again

if I don't make it

at least I lived

Pi

🚁🥧🐧 https://t.co/rgRXwuO717"
226,@BogochIsaac Typo: 85% herd ‘Immunity’…there will be no impunity for Cda🇨🇦politicians &amp; CMOPH if they don’t heed Israel’s example &amp; try to fake us out w/ 0.2%–0.5% of pop’n daily vaccinations as Ontario has done with Covid-19🦠daily testing.
227,The NYT printed a piece about mixed vaccinations which was completely fake and later amended and twitter is blaming the Gov - the same newspaper claimed French Muslims would be forced to wear an ID patch ...it’s worse than The Scum
228,"Good grief. 

What is it with these fake vaccinations? 

They think you're stupid.

Must watch 👇 https://t.co/WxG0Ys5kw5"
229,"@imkimaaron @DanielB59756947 @ChanceCampaign @indio007 @Mcscorpio81 @mrssimp33413365 @Pewds9085026 @mattithyahu @TBRagsdale1 @J5_Project @maxsec @space_is_fake @FlatSlugbrains @hugh_bothwell @SplinterSimba @Both_Sides_Suck @Frequen15309040 @itsaglobe @ScottoftheBruce @SkyDog_59 @sly_sparkane @lookscurvedtome @FEtranslation @TrueBlueRMC @keigh_see @Bradwags68 @try_thinking @doctorbuttons @Beeeelzebub888 @Huttvalleycraz1 @mikeonthebayou @DestroyFE @LaikaAndYuri @NaGTruth @theathens619 @badibulgator @TheUpriser1 @BadMuthaFlerfer @GEIST_VIEW @hunt9941 @habsbatman @KanChristo @declan6914 @HlScientist @Oswald1160 @boston_hoax @SurveyorMaine @Freak0nline @FLATHORIZON @PhyzMr I heard Bill was hiring people to take fake vaccinations and claim they had no side effects.

And otherwise you can always call George if he still has a job for you."
230,"@nypost Not alarming they know its all Bullshit. Who wld trust a vaccine prepped in 9months verses 10yrs &amp; seeing all the fake vaccinations live on Media... 

Yeah, you ain't fooling anyone or us. We ate an orange &amp; kept it moving..."
231,@quarecuttie There’s people I went to school with sharing videos of vaccinations saying they’re fake 😭😭😭
232,To spread fake news about widespread mix and match vaccinations is only a step before saying vaccines include microchips to control you. It is beyond highly irresponsible
233,"@paralegalmom I just see so many holes in this concept. Puts an extra burden on doctors if they need to provide documentation, easy to fake, ppl giving vaccinations needing to police it."
234,"@MarshaBlackburn no one is trying to take that right away.   fight for us to stop this pandemic!   what happened to the 20 million vaccinations promised by now?   only 2 million give, definitely not warp speed, more like sluggish speed.  get your priorities right. stop the fake wars."
235,Stanley Johnson the father of now prime minister Boris Johnson wrote a book about Governments releasing a fake virus for population control through forced Vaccinations 💉🙈 https://t.co/UDl6vm1zXJ
236,@FDRLST I wonder 100 million vaccinations was promised by this president than his staff said no no 20 million by end of 2020 well 14 million were shipped less than 3 million administered wheres your REPORTING on the failures on behalf of citizens FAKE NEWSL
237,Fake vaccinations https://t.co/0X6Z11uSoS
238,@HMOIndia  arrest him for spreading fake information for vaccinations https://t.co/O13LZOsING
239,"@Aiannucci Footage of man on the moon- some believe it’s a conspiracy 

Footage of the 🌎 from space - some believe in flat 🌍 

vaccinations wiped out some diseases - anti-vaccers 

Ultimately ppl believe what they want with/ without evidence

Make the video ... they will claim fake news"
240,"@g8orshan @benlandis The chances that the world governments fakes the Moon Landing is astronomical. Also, the chances of the earth being flat are crushing. I'd describe the chances of Vaccinations being dangerous, but you'll probably catch that somewhere else."
241,SMH....more fake vaccinations 🤔😕 https://t.co/lPly46JjkB
242,"Traitorous Harper Senator sez what?

Traitorous Harper Senator doesn't know it's provinces &amp; territories responsible for vaccinations?

Traitorous Harper Senator still pining for the US and dredging up fake media meme?

Traitorous Harper Senator can't find her suitcase?

#cdnpoli https://t.co/la6iqx2Cvk https://t.co/3yU5aGcobT"
243,"@denisebatters Traitorous Harper Senator sez what?

Traitorous Harper Senator doesn't know it's provinces &amp; territories responsible for vaccinations?

Traitorous Harper Senator still pining for the US and dredging up fake media meme?

Traitorous Harper Senator can't find her suitcase?

#cdnpoli https://t.co/8gK0zjxJ5K"
244,"@LCaldlow @its_menieb @realDonaldTrump Do I think we should shut everything down? Hell no. But proper precautions and vaccinations do need to take place if we dont want Covid to become the deadliest event in US history. 

You fuckers who think its fake are the reason its gotten so out of hand."
245,"So here's a question that I haven't seen anyone ask:

How many fake flu shots has this pharmacist given out?

How many fake vaccinations are given out by vaccine-denying pharmacists nationwide?

He CANNOT be the only one. https://t.co/qW340SvgsL"
246,"@JohnBrennan And,thank you President Trump for the Covid vaccinations. Thank you fake impeaching Dems and Chiiina for the Covid outbreak."
247,"One of the good things about 2020 is that I didn't have to come up with my fake reasons for not attending your holiday party. Since the vaccinations have started, I've already started preparing excuses for 2021. #introvertproblems"
248,"Fausse info dénoncée par plusieurs média sur les pseudo déclarations de Henri Kissinger en 2009 sur l'OMS (eugénisme par vaccinations etc) c'est un fake. Pas la peine de relayer ni d'augmenter la panique. On a assez de mal comme ça à obtenir des informations carrées, claires"
249,@drdavidsamadi Funny how Fauci said his other arm hurt after getting the vaccine! 😂 I love all these fake vaccinations!
250,"Liars, murderers, fake tests, and toxic ""vaccinations"" that give you HIV, destroy your immune system and kill you.  All with LIABILITY IMMUNITY for the big Pharma ""Dr. Mengelas"". https://t.co/UfECoRfZjH"
251,@CaslerNoel @realDonaldTrump i hope fake Melania got her vaccinations up to date
252,"@JoeBiden People aren't getting vaccinated because they don't want it. A virus with a 99.7% survival rate doesn't warrant mass vaccinations. Bottom line, your fear campaign isn't working and like your narrative the people realize you're fake as well."
253,The satanic devils are giving people man-made synthetic vaccinations and this is what's happening from the fake man-made synthetic medicine... https://t.co/Umg9YNqiIP
254,"@RealistKeko A 3 month long stricter lockdown to get the masses to comply with getting vaccinations. It's all a joke. No logic behind any of it, some bullshit ""virus"" with fake numbers to scare everyone into being controlled. Medicine is to treat, not cure."
255,The doctors &amp; healthcare workers are morons. They cant even do the vaccinations right. More truth of the fake pandemic being perpetrated against our freedoms. Our so called leaders are full of lies. @RobynTannehill @tatereeves @TCBPubHealth https://t.co/4snoTrSHO0
256,"The CON-stitution is a piece of kak paper, and the Bill of Rights is a lot of bullshit, that protects you against fuckall..Not Lockdowns, not vaccinations, God not even against a fake virus, which is @BillGates fart..@Jagman05580158 @ConCourtSA @DrZweliMkhize https://t.co/e0gYIQqOCD"
257,@george_revere Just because they say it doesn’t mean they are actually doing it.  Trying to make it look like the new norm like the vaccinations .  We see those are fake!
258,@tito_mboweni As long as you all don’t force these fake vaccinations on us we shall be fine.
259,"Was @MattHancock fake tears the most sickening sight of 2020?

The Tories are now about to fuck up the vaccinations. https://t.co/rJtueu9yNm"
260,Fake needle injections for vaccinations? verify!🤔🧐  https://t.co/XwFWvqYjJC
261,@pellucidewer This is of course fake news by your part. Israel sourced it's citizens with vaccinations: Jewish and Muslim and Christian alike.
262,"@gio_please Even with the vaccinations, people can and most likely will purchase fake vaccination cards 🥴 knowing how stupid America is, it’s a possibility"
263,@WSJ How YOU spread misinformation .. fake Covid tests numbers.. no corruption to see in election.. encouraging vaccinations whilst not reporting the side effects or fake vaccines taken on camera.. in fact NO real reporting at all
264,"@RepSwalwell @TerrapinHoops Joe Biden, Eric Swalwell, Mitch McConnell shouldn’t be anywhere near the reins of power.

Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations &amp; fake science.   

https://t.co/EBoEq0Wlh5"
265,"List of dumbass shit this year I wanna point out : thinking covid was gonna be gone after the election, Chris Cuomo faking quarantine and broadcasting from his basement, shutting down small business with no science backing it, fake vaccinations on TV. Feel free to add to this!"
266,"@SenateGOP @USSenate @VP
@USHouse @HouseGOP @GOP

The Hypocrites are First in Line!

Vaccinations: Should Hypocritical Politicians who Downplayed or Called the Pandemic 'Fake' have priority?

The Insult to the Sick, the DEAD and their Families is Blatant.

https://t.co/3KsROC5FV9"
267,@CMOH_Alberta @jkenney Can we get an update on all the fake vaccinations?  Can we get an update as to why many many health care workers are refusing the vaccine? Can we get an answer about ivermectin and why countries overseas are using instead of an untested vaccine? Can we get the truth and not lies
268,"https://t.co/MZY7yvaeBe

Look closely...these people in Congress ..etc ..are not getting vaccinations done. It's all a mock showing. It's fake. Wake up people. They know this shit is deadly or causes severe reactions! #saynotothevaccines"
269,"@hrkbenowen What's there to party about?

Forced vaccinations?
A fake pandemic?
Communism?
Stolen elections?
Global tyrannical government?
Hospitals turning into the modern Nazi ovens?"
270,"@lubot446 @JamesQUAN10 @realDonaldTrump Yes .... They're ALL FAKE.  No one in their right mind would voluntarily get any of these Franken-shots.  The virus is a hoax, the vaccinations are a hoax, and we are in SERIOUS TROUBLE if our leaders don't grow some balls and fix this stolen election."
271,"@coreyj @ThePepperCherry @MythBusters The fake news thing is real. It affects both sides of any bubble. Require citations for things you agree with as well as stuff you don't.

Absolute faith in masks and vaccinations is just as much a self reinforcing bubble as antivaxxer 5G GPS microchip folks."
272,"@JoeBiden Democrats need to wake the fk up!

Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations, Democrats stealing the Georgia senate race &amp; fake science

https://t.co/oScZ1usMDR"
273,@HumanityBlues @willchamberlain So Pfizer and Moderna hasn’t distributed the vaccines to the states. @GovofCO must have faked his photo op. I find it strange that the hospital I work for has been giving fake vaccinations.
274,"@AkidAlWalid @FAKE_Investiga Depuis 3 jours de nombreuses personnes réclame l'accélération des vaccinations en France, personnes ne les traité de complotiste. C'est simplement qu'il faut poser des questions logistiques, réfléchies, et pas déformé la réalité pour rien."
275,@DiamondandSilk He can't do that. A fake president pushing mandatory vaccinations would be a clear violation of the 9th amendment. A lawsuit would make it to the scotus and they would shut that down. Thank God.
276,"Attorney General @pweiser is warning Coloradans about potential COVID-19 vaccine scams and vowing that the State will enforce laws prohibiting fraudulent or deceptive sales of fake COVID-19 vaccinations and cures.
@KDVR #COVID19Colorado
https://t.co/yJvx47kh5X"
277,"S Koreans are afraid that they’ll end up with Sinopharm vaccine because of Moon Jae-in. Someone can be paralyzed or die after vaccinations ‘cause the Chinese make every bad thing and every fake thing to deceive others and swindle them out of money!, say they. https://t.co/j7Dssk5s0o"
278,".@KLoeffler ""Target of 20M COViD vaccinations in 2020 &amp; ONLY 2.6M inoculated is FAKE NEWS. Blame the @SenateGOP &amp; #Fauci."" @realDonaldTrump 

#StopTheSteal &amp; #FightForTrump 
@GeorgiaTechFB
@GeorgiaStateFB
@GeorgiaFootball
#HoldTheLine"
279,".@Perduesenate  ""Target of 20M COViD vaccinations in 2020 &amp; ONLY 2.6M inoculated is FAKE NEWS. Blame the @SenateGOP &amp; #Fauci."" @realDonaldTrump 

#StopTheSteal &amp; #FightForTRUMP2020 
@braves
@ATLUTD
@ATLHawks
@AtlantaFalcons
@FOX5Atlanta
@wsbtv
@11AliveNews"
280,".@GaRepublicans ""Target of 20M COViD vaccinations in 2020 &amp; ONLY 2.6M inoculated is FAKE NEWS. Blame the @SenateGOP &amp; #Fauci."" @realDonaldTrump 

#FightForTrump &amp; #SaveAmerica 
#Georgia #GEORGIA #GAsen #gapol @GOP
#GOP #NRA #GA #HoldTheLine"
281,"@RyanAFournier .@GOP  "" Target of 20M COViD vaccinations in 2020 &amp; ONLY 2.6M inoculated is FAKE NEWS. Blame the @SenateGOP &amp; #Fauci "" @realDonaldTrump"
282,Aff. Fake news France Inter du 28 décembre.  Le bnvca a saisi le csa. Radio. France et demande droit de réponse à. France Inter pour rétablir la vérité sur les vaccinations des terroristes prisonniers palestiniens
283,"@tim_nolan No, because they will have all jumped the line for vaccinations after calling it fake news or a hoax for a year."
284,"@marceelias Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations, fake science
election and Marc Elias
https://t.co/oScZ1usMDR"
285,"Do Democrats know a damn thing about what racism is like in China &amp; life for minorities there?
Wake the fk up Trump obsessed Democrats!

Non-kinetic war with China w/whiteboard, stimulus checks, vaccinations &amp; fake science
https://t.co/oScZ1usMDR
Earthquake Adolf
Senate Democrats"
286,@WhiteRabbitNN @joseisabamf Fake vaccinations!
287,"Shame on all of them!!Fake news, fake vaccinations, fake pandemic, is there anything real, fair and honest?? https://t.co/hiCI0N9Z1K"
288,"Q: Sir, you promised 20M vaccinations by today, but only 10% have been done.

Trump: Don’t you realize I’d actually have had to do work to make that happen? 

Q: Sir?

Trump: That’s not a president’s job.  We’re here to tweet fake news, golf, &amp; steal $.
https://t.co/tbRVVgyKMb"
289,This is an obvious show of how interested the GOP is in helping America. This woman is the head of the GOP and they are in control of our government currently. Behind 10 million vaccinations from the promise. Worried about a fake accent. 🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍🐍 https://t.co/GOKmCn13MT
290,"@TheMindsculpter Hard to say, as the scam can perpetuate endlessly. Just use the fake test at the required number of cycles to show infections rising, or lower the cycle to show lockdowns and vaccinations work. As long as people are too fucking stupid to see what's going on, it never ends."
291,I've decided to not get the vaccine. I've had Covid. I have antibodies. The increasing fake vaccinations and the effects that keep happening but keep being swept under the rug. Is way too much. Here is the nurse that fainted. 2 different ppl. Tiffany Dover. She died. Cover up. https://t.co/qvyB4XSHdo
292,@nataud_blais @sacripant1 @SardineEpicee17 @bidryn 😂 😂 après la fraude des élections 🗳 Léa fakes vaccinations 💉 en direct ! 😂 😂 nos gens là n’ont plus aucune pudeur 😂
293,"@HisDivineShado3 @SciZari @willystaley Wow an article written by a person under a fake name about problems with vaccinations in Europe when Vaccinations in Europe started... just that day so problems weren't reported yet.

Sounds very credible...."
294,Il paraît que en Arabie Saoudite les vaccinations aient été arrêtées car trop de conséquences.... néfaste..silence dans les médias..Fake ou pas Fake?
295,More fake vaccinations https://t.co/icOaFIFIRN
296,"covid19, vaccinations, us election, fake news, blm, china"
297,"@ProjectLincoln @realDonaldTrump Stop with this FAKE stuff. The so called “data” that these dumb asses are using is days old, not current at all. Vaccinations are actually going quite well."
298,It's gonna be surreal when we get vaccination to the point where most people are talking about coronavirus as if it's done when it's actually continuing to rip through communities who think it/vaccinations are fake
299,"Been out all day, and not as headline suggests , MHRA recommended 12 week period because 
A) It gives better protection 
B) Allows more vaccinations 
The Guardian is a fake news organisation and anti UK it needs to be closed down https://t.co/HUtoZPz470"
300,"@EmaKrusi @realDonaldTrump Vaccinations heuuu non fake vaccination , j ai fait yne petite compilation de lien 😂et apres ils parlent de confiance 😂😂

https://t.co/CGcZPNaQHI

https://t.co/MIRFoJI3Ej

https://t.co/eFnemuX1MX

https://t.co/xbbAKSBqC5

https://t.co/YRJvnUiP0L"
301,"Vaccinations heu nope fake vaccination , this how they want to push us to be confident about the vaccin 🤪🤪🤪😜

https://t.co/CGcZPNaQHI

https://t.co/MIRFoJI3Ej

https://t.co/eFnemuX1MX

https://t.co/xbbAKSBqC5

https://t.co/YRJvnUiP0L"
302,"@NYGovCuomo Nothing to see here but Cuomo pitching a fake pilot program at Buffalo Bill's Stadium so he can attend the game. 
Megalomania in full effect. 
He mentioned nothing on how he plans to distribute vaccinations to the vulnerable  seniors ,dangerous criminals addicts sex predators yes"
303,@donwinslow @realDonaldTrump It’s because the vaccinations were rigged. Fake News!!! https://t.co/Uhyn0HTmyh
304,"Watch @ScottAdamsSays's broadcast: Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science

https://t.co/2Pl4bx0AB4"
305,"Episode 1236 Scott Adams: Non-Kinetic War With China, With Whiteboard, Stimulus Checks, Vaccinations and Fake Science - ..."
306,"Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science

https://t.co/jEee1kU4U3

#MitchMcConnellHatesAmericans"
307,"@Mike_Pence Hmmm ...20 million vaccinations before December 31st ...ok i get it..skiing was a higher priority.
I also assumed you and mother prayed a lot (in public,,because nobody really believes your fake christian""believes"")"
308,Fake proof of vaccinations is gunna be a booming business
309,"Watch @ScottAdamsSays's broadcast: Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science

https://t.co/pfBNbgNZGd"
310,Amazing more worried about his fake election fraud than vaccinations https://t.co/cIWrZIy2ff
311,"Watch @ScottAdamsSays's broadcast: Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science https://t.co/rqC1Ts10NZ"
312,"Watch @ScottAdamsSays's broadcast: Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science https://t.co/nkhovTBmVT"
313,"Non-kinetic war with China, with whiteboard, stimulus checks, vaccinations and fake science https://t.co/DAexh1plDE"
314,"@gillianwatson @ninnyd101 Yes they do think we’re stupid. These are fake vaccinations meant to be disclosed at some point. A fake vaccination meant to be hidden would be a really obvious injection of water. Not sure why just yet, but this is not the real Kamala, so who knows?"
315,"@Correct_Q @hughhewitt @politico @SecretarySonny Hahaha You just confirmed the fake, biased media! Warp speed in charge of distribution to states( going smoothly).... states responsible for actual vaccinations!!!!!"
316,"@GeorgeThessalos @darkjonsey @Makis_Kevrekidi @POLITICOEurope Not quite true. Scheduled vaccinations for dozens of health workers were postponed, while ministers, minor govt official, wives etc got vaccinated in their place.
So, please do avoid spreading alt-right type Fake News"
317,"WTF is going on !!! Why are we seeing so many FAKE Vaccinations, all around the world!!! @realDonaldTrump https://t.co/Kj6nHg0efd"
318,"@realDonaldTrump If you want to prove to the American people this is safe and effective, film yourself walking into a random clinic in the projects and roll up your sleeve. No more made-for-TV fake vaccinations of Gov officials!"
319,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/qplH4YX7Ho"
320,@edgewoman3000 @RaymondGagne10 @CFosee @fordnation inner circle ministers do not leave the country without Doug knowing and approving -  you are correct that he will have fake concern for this as he will for blaming hospital staff for the pause in vaccinations - fake fake fake Ford
321,"They are faking vaccination shots some without even taking off the safety cap...its on video.... and those taking the shot, there are taking fake vaccinations.. (saline shots)...

@g68_charlie 
@Ayoo_Sheed 
@va_shiva 
@DrButtar https://t.co/kOIENvVsNI"
322,"@Standing4Americ @2Warq2 @QBeliever3 @K0GW89 @Warrior4God1776 As they haven't put her back on air, despite this being known for a while now, I'm inclined to think it is, and with all the fake vaccinations they are showing, its becoming pretty clear they are making it so obvious now that this is a scam that even the sheep should realise"
323,#COVIDScam please be careful of sophisticated scams redirecting you to fake but professional looking NHS websites for vaccinations. The #NHS will NOT contact you via txt only via post or your local GP. Never share your personal details unless trusted source #CovidVaccine #COVID19 https://t.co/ZMvUB7IwWF
324,#cybercrime : https://t.co/Z7siJxpth6 Warning over fake calls offering coronavirus vaccinations - Eastern Daily Press
325,"@Loopy3092 Oh no, we are having a Fake Festival in June. I usually go but i am anxious about booking. I am going to wait and see how these vaccinations go."
326,"U.S. Vaccinations 
at 200,000 a Day Run Far Short 
of ‘Warp Speed’ 
(Yeah it's and 'Ad Campaign'
You didn't really think 
it would be ‘Warp Speed’? 
No it's all 'Fake')

https://t.co/DJ7QgGFJGh"
327,"@RyanSchuiling @MichaelBrownUSA Maybe you should cover biggest political failures:

A - Operation: Warp Speed (2 million vaccinations by end of year falling far short of goal of 20 million)
B - Trump’s fake accusations of voting fraud.
C - FEMA’s handling of Hurricane Katrina under Michael D Brown"
328,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media via @forbes https://t.co/9LtW4OitSZ"
329,@realDonaldTrump would be better if you helped the people by lifting the state lockdowns and forced vaccinations...polls are fake news...
330,"#Coronavirus Fatalities Exceed 193,900 in 475 Cities
while the world has started vaccinations to save lives, the regime is planning to kill #Iran population by making a fake version!"
331,"GOP losers are claiming the public vaccinations of the new administration are staged. ""I know a fake shot when I see one."""
332,Question: how many publicized vaccinations could be fake?
333,"#MovingTheGoalpostsMike says what?

You promised vaccinations, not distributions.

Why do you lie so badly while on vacation in Vail.

What kind of fake religious freak are you that you cannot be in a room unattended with a woman, but can lie with ease and apparent glee. https://t.co/YtsupXcHmB"
334,@nachoghost @Nycweatherrepor @nypost Not yet. It's a ten year plan. At the moment they're just conditioning everyone to accept routine vaccinations as the norm using a fake pandemic. #Agenda21 #Agenda30
335,"There's gonna be fake passport vaccinations or whatever you wanna call it, if yall don't stop playing 😂"
336,"CNN, and FAKE NEWS, it is unbelievable the lies, and corruption against our President. He has been called a racist, bringing covid here, and he has put up with your shit 4 years. You have addressed that Biden gets all the credit for bringing vaccinations. YOU ALL CAN🖕🖕"
337,"#israel #Israel #israil #fake #fakevaccinations #vaccination #vaccinations #telaviv #arutz20 #Netanyahu #Balfur #Jerusalem
#Covid #covid19 #coronovirus
FAKE VACCINATIONS IN ISRAEL
😂😂😂🤣🤣🤣😇😇😇 https://t.co/YMCWJXrQDo μέσω του χρήστη @wpvkp"
338,@SaraCarterDC @KamalaHarris Its already been shown these vaccinations are fake.
339,"Trump's plan was to vaccinate 20M Americans by end of 2020. Today press reports put the current vaccinations at 2M.  So, where's the problem: vaccine allotment, supply chan, state and local government distribution?  Fake news? https://t.co/s6DlsuSLTk"
340,"@LawSh_MM Mogoeng and his team will have to clarify that. 
if that's the case as you put it, we're toast. 
more fake pandemics can be manufactured and vaccinations, so Big Pharma profits will land on Jupiter before Elon Musk is able to get there by one of his Rockets"
341,"@FabioPatriot17 All these videos of dancing hospital staff and fake vaccinations are just actors, that with purpose are trying to show the public that all this covid hysteria is just a big hoax. Many are waking up but too many aren’t despite all this effort. I feel sorry for the asleep ones."
342,"@veggiesandherbs Yes and most of their public ""Vaccinations"" were as fake as the whole voting process was."
343,"Like, yes I'm worried about my dad because he's overworked and has been coughing and tired. Luckily whatever he has right now seems pretty mild, but damn. Hate how my body psychs me up with paranoia and a fake cough. The stress hits hard after the hope of vaccinations."
344,"Biden to attack Trump admin for slow pace of Covid vaccinations https://t.co/X2FbdhbFYc 
Biden is a senile pathological liar who has caused millions to fear the vaccine. You are a Fake News lying hack for ignoring the truth. All of you can go to hell."
345,"@JunkoPatsye Misleading??? I saw 3 vaccinations given that were FAKE &amp; Fauci’s was one of them. He is the most inept Dr of our time. And having seen a few for autoimmune I have seen my share. Few care, zero bedside manner &amp; dismissive comes on the resume’"
346,@GovRonDeSantis Governor what’s going on with vaccinations. Won’t me long  before  the fake news media will start talking about what’s wrong with vaccinations in Florida
347,"Inflated cv19 numbers, and fake vaccinations. Aren't we having fun playing FakeOut? https://t.co/KPvZyUwAKg"
348,"Fake vaccinations.....get ready for more of this type of ""creativity"".....

https://t.co/ZhhnmxE9BI https://t.co/HJUOmejz0j"
349,"@thehill Nah, we have seen too many fake vaccinations by now. Maybe it was just saline in that prepared syringe. 
And why is Kamattress wearing 2 masks?🤣"
350,"Fake story made up by Conservatives saying Canada is at the back of the line for vaccines was pushed by the media every hour of everyday until it was proven false.
Conservatives in Ontario predictably botch vaccinations. 
The media: ""They said sorry. Time to move on.""

🙄"
351,"If Democrats can stuff ballot boxes with fake ballots, I wouldn't feel bad about fake ID on Vacs.  I'm afraid of those vaccinations.  I'd rather fake it than sell my soul to these devils. https://t.co/Evoglkgqpj"
352,How about Arizona’s fake electors trying to deliver Arizona’s 11 electoral votes? You can give the reward to the Arizona state government to help with vaccinations and unemployment. https://t.co/98hobd7jrt
353,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social Media https://t.co/siIYRcFD67"
354,Les #GGRMC devient une émission à fake news. Et on annonce des nombres de vaccinations aux États-Unis comparé au nombre en France. Comparez ce qui est comparable
355,"@sharpfang @abcnews Right wing people love creating fake graphs against Covid, climate change, vaccinations, health, and the environment. They’re idiots who call others idiots"
356,"From scams soliciting donations for fake charities to phone calls falsely offering immediate vaccinations to protect against COVID-19, I’m urging the FTC to take action to protect seniors targeted by scammers. Be diligent this holiday season! 
https://t.co/zQZSKRePkI"
357,"@christo_comte Certes, mais la question que je me pose :
1 - Est-ce fait pour inciter la population à se faire vacciner, car il y a des modèles qui le font ?
2 - Les vaccinations télévisées sont tellement fake que c'est fait juste pour réveiller encore plus la population ?"
358,@SwitzersWishbo1 @Whattha1983 I hear ya man. I'm pretty much the same way. I know the vaccine is real because I have family who have been transporting the syringes all over oklahoma for the last few days. Just don't understand the videos of fake vaccinations. Anything can be doctored but most are legit fake.
359,"@SwitzersWishbo1 @Whattha1983 That sucks man. Im not anti-vaccine, I've got all my shots...but I'm perplexed with the number of videos of these fake vaccinations. It makes me hesitant and I dont understand what the goal is. Like why not just show people actually getting it? Its weird. There's 100s of these."
360,"Claims Of Fake Covid-19 Vaccinations, Disappearing Needles Spread On Social 
Media #socialmedia https://t.co/4CtibgoRfq"
361,"Pelosi, Pence did not fake Covid-19 vaccinations using capped needlesampvideo_youtubeAFP Factcheckbookmark_bordersharemore_vert,https://t.co/6uZL35twib"
362,"Passé l'émotion et après analyse, il est clair que
Ces ""vaccinations"" télévisées sont absolument Fake.
Partout."
