,tweet
34,Vaccinations : Caroline Roux dénonce la fake news de Gérard Larcher sur son plateau dans Télématin (VIDEO) https://t.co/LHYIZW2YIn Ces politiques mentent éhontement et après vous voulez qu’on
35,@heraldscotland This is fake news. The vaccine is being administered. I've seen the vaccine teams at work in our care homes and they have been professional and carried on the vaccinations quickly and safely and moved on to the next service. Journalists can be dangerous.
36,Gérard Larcher dénonce à tort une lourdeur administrative sur le vaccin Le président du #Senat s'est indigné que le document de consentement à la #vaccinations contre le #COVID19 remis dans les #EHPAD soit long de 58 pages. https://t.co/LPi3Bbd6ac via @20minutes
37,"For Th Record:

F those who FLIP FLOP!

I WILL YOU GET VACCINATIONS!

Ye GOT Demons now promoting FAKE MAGNETIC EYE LASHES!

This means what you SEE IN BS WILL BE ATTRACTED TO YOU GODSPEED DUMMIES!

Facts 101

Rabbi Wisdom 9.13"
38,Vaccinations cause lizard-morphing! Don’t vaccinate! I threw out all my old clothes because they had chemtrails on them! The New York Times is a conspiracy of lies--just fake news pies!
39,"@kashipathiravi They are just shouting aloud. Not answering any questions.

Fake people, fake party, fake narratives.

I still have hope that after COVID-19 vaccinations, they might become okay. Otherwise no hope😊👌🙏"
40,@ItzCupcakeBihh @mryder23 @FrustrationQ @Slizzy703 @PNellytime @JayShowtime149 @trucktrappin @ProgramV @kingsnowflakee @LTBRpodcast @CORTEZ_HSP @DNA_GTFOH @SScream051 @Majorant11 @EMOTIvesON2 Why was all the fake vaccinations if its supposed to work????
41,"With Trump vowing an ""orderly transition of power"", it looks like my 7th prediction -- an ""antipope"" fake presidency -- will not come true.

Which makes me 6 for 7.

I'm sorry, folks, Noahstradamus has failed you..."
42,"@realDonaldTrump Transparency from all sides, please. This was a false flag! Nobody died! Stop politicking and playing their games! Call the shots! Just like going along with the Covid scam/Vaccinations. Shame! Transparency, please Sir! You made your bed. No body wants a shot for a fake virus."
43,"@BBCNews Her story sounds fake.
'I developed it three weeks later.
That was three weeks ago'
It hasn't been that long since vaccinations started!"
44,"Vaccin Pfizer : un couac initial dans la façon d’injecter ?
Les premières recommandations aux médecins et infirmiers, émises par le ministère de la Santé, s’avéraient contradictoires.#vaccinations #pfizer @nofake_science @MinSoliSante
https://t.co/c9O3TWpGU1"
45,"@DNC_FRK ohio approved vaccinations for people 70+ starting this month, lemme get a fake ID real quick🧐"
46,"It's not conjecture to say that the Nazis are going to try to violently accelerate around vaccinations.

It's already happening.

Here's an antisemitic fake account posing as a rabbi to spread deadly vaccine disinformation. https://t.co/Oodv1G1bcW https://t.co/zxfC6086wb"
47,Shame on Labour politicians trying to score points by spreading fake news about the vaccine. Many people are working flat out to deliver it and they're doing a great job. #vaccine #vaccinations https://t.co/daOekZj3lE
48,‼ Please be aware of the attached scam relating to vaccinations where individuals are sent texts and are directed to a lookalike fake NHS website. https://t.co/0gCqiggtEr
49,"So this means the mayor’s authorizing the vaccinations, right? https://t.co/2dkvZdxukG"
50,Vaccinations : Caroline Roux dénonce la fake news de Gérard Larcher sur son plateau dans Télématin (VIDEO) https://t.co/DELhbNw70E
51,"Diffuser des #fakes sur les réseaux sociaux, quelle médiocrité pour @ECiotti 🙄
Aucun manque de vaccins. Un rythme d’approvisionnement connu et planifié pour chaque pays de l’UE
Comment peut on être aussi malhonnête ? 🤔
#vaccinations https://t.co/dUhZ50IS7J"
52,Vaccinations : Caroline Roux dénonce la fake news de Gérard Larcher sur son plateau dans Télématin (VIDEO) https://t.co/SkKVBL28Gy https://t.co/S7vCmoUhC1
53,"What The F**k?

The Kraken - Fake
Jan 6 - Came &amp; Went
Q-Talk Re-Storm - Hot Air

Here’s What’s Coming 
From the Government 

Indefinite Lockdown 
Mask Mandates
Forced Vaccinations 
Vaccination Cards
Contact Tracing 

Read:
Agenda 2030
Covid 19 &amp; The Great Reset"
54,@AlexBerenson If the side effects were that serious the fake media will be all over it.  The lack of vaccinations is the result of slow roll out by the states not a lack of desire for taking them.  The Dems want nothing more than keeping us under their thumb for longer under their lockdowns.
55,@asifintoronto I will happily accept this as a fake road to damascus moment if it keeps kids and school staff learning and working from home safely until vaccinations are available to the general population
56,"@KarenReissmann @MENnewsdesk @itvnews @BBCNews @BBCNWT @GranadaReports Clapping is counter productive just allowing NHS haters like the PM to fake their support. We need to provide NHS workers with PPE, vaccinations, stop the antilockdown anti maskers from endangering lives and treat NHS with respect by restoring pay to 2008 levels before the cuts."
57,"Covid-19 : les anti-vaccins sur les réseaux sociaux @linfoduvrai #JeMeFaisVacciner #vaccins #COVID19 #vaccinations #antivax #Antivaccin
https://t.co/UXe6WcPj8j"
58,"Fake #NHS COVID-19 vaccine texts from fraudsters target elderly and care workers
#vaccinations #healthcare #coronavirus
https://t.co/nw3LHuLFql"
59,@MatthewDorrance Is it true that those who volunteer to carry out the vaccinations can't unless they go on a racial awareness and anti terror training as well as filling out a 20page questionnaire. I really hope this is fake news but have a horrible feeling
